,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
21,2016-01-23,7247.268084255612,-2174.9525651927315,7868.049497827276,7247.268084255612,7247.268084255612,-4536.381580767352,-4536.381580767352,-4536.381580767352,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.36258720846484,366.36258720846484,366.36258720846484,-1448.5981409038156,-1448.5981409038156,-1448.5981409038156,0.0,0.0,0.0,2710.88650348826
22,2016-01-24,7247.643625288735,-2546.8347792696777,7735.756586354443,7247.643625288735,7247.643625288735,-4436.959758089141,-4436.959758089141,-4436.959758089141,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.0377138854323,392.0377138854323,392.0377138854323,-1374.8514449025736,-1374.8514449025736,-1374.8514449025736,0.0,0.0,0.0,2810.683867199594
23,2016-01-25,7248.01916632186,-2667.353248945943,7467.542132069831,7248.01916632186,7248.01916632186,-4627.081443060254,-4627.081443060254,-4627.081443060254,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030130783,111.70150030130783,111.70150030130783,-1284.6369162895612,-1284.6369162895612,-1284.6369162895612,0.0,0.0,0.0,2620.937723261606
24,2016-01-26,7248.394707354983,-2998.337582399799,7128.24461431703,7248.394707354983,7248.394707354983,-5290.0844689834685,-5290.0844689834685,-5290.0844689834685,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-656.6726661748523,-656.6726661748523,-656.6726661748523,-1179.2657757366153,-1179.2657757366153,-1179.2657757366153,0.0,0.0,0.0,1958.310238371515
25,2016-01-27,7248.7702483881085,-2493.474699515776,7819.974108145732,7248.7702483881085,7248.7702483881085,-4576.052160359379,-4576.052160359379,-4576.052160359379,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-61.553978124345406,-61.553978124345406,-61.553978124345406,-1060.3521551630326,-1060.3521551630326,-1060.3521551630326,0.0,0.0,0.0,2672.7180880287297
26,2016-01-28,7249.1457894212335,-2738.174881786321,7738.233668674561,7249.1457894212335,7249.1457894212335,-4412.043097180586,-4412.043097180586,-4412.043097180586,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-28.117835524717012,-28.117835524717012,-28.117835524717012,-929.7792345838683,-929.7792345838683,-929.7792345838683,0.0,0.0,0.0,2837.1026922406472
27,2016-01-29,7249.521330454357,-2117.0054171568318,7829.388256221124,7249.521330454357,7249.521330454357,-4367.562558983398,-4367.562558983398,-4367.562558983398,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,-123.75732157080473,-123.75732157080473,-123.75732157080473,-789.6592103405928,-789.6592103405928,-789.6592103405928,0.0,0.0,0.0,2881.9587714709587
28,2016-01-30,7249.896871487482,-1647.463691974223,8297.449627104334,7249.896871487482,7249.896871487482,-3730.071480305836,-3730.071480305836,-3730.071480305836,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,366.3625872079914,366.3625872079914,366.3625872079914,-642.2880404418263,-642.2880404418263,-642.2880404418263,0.0,0.0,0.0,3519.825391181646
29,2016-01-31,7250.272412520605,-1729.3215090981535,8765.230410461514,7250.272412520605,7250.272412520605,-3552.204353170277,-3552.204353170277,-3552.204353170277,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,392.0377138855394,392.0377138855394,392.0377138855394,-490.096039983816,-490.096039983816,-490.096039983816,0.0,0.0,0.0,3698.068059350328
30,2016-02-01,7250.64795355373,-1517.8204232501917,8864.186974559758,7250.64795355373,7250.64795355373,-3678.0400267447703,-3678.0400267447703,-3678.0400267447703,-3454.1460270720004,-3454.1460270720004,-3454.1460270720004,111.70150030069443,111.70150030069443,111.70150030069443,-335.59549997346426,-335.59549997346426,-335.59549997346426,0.0,0.0,0.0,3572.6079268089597
